1949-10-01 14:21:02	34c
1949-10-02 14:21:02	41c
1949-10-03 14:21:02	38c
1949-10-04 14:21:02	36c
1949-10-05 14:21:02	27c
1949-10-06 14:21:02	26c
1949-10-07 14:21:02	23c
1949-10-08 14:21:02	31c
1949-10-09 14:21:02	42c
1949-10-10 14:21:02	34c
1949-10-11 14:21:02	36c
1949-10-12 14:21:02	37c
1949-11-02 14:21:02	41c
1949-11-03 14:21:02	38c
1949-11-01 14:21:02	34c
1949-11-04 14:21:02	36c
1949-11-05 14:21:02	27c
1949-11-06 14:21:02	26c
1949-11-07 14:21:02	26c
1949-11-08 14:21:02	52c
1949-11-09 14:21:02	42c
1949-11-10 14:21:02	34c
1949-11-11 14:21:02	39c
1949-11-12 14:21:02	11c
1966-11-02 14:21:02	41c
1966-11-03 14:21:02	38c
1966-11-01 14:21:02	34c
1966-11-04 14:21:02	36c
1966-11-05 14:21:02	27c
1966-11-06 14:21:02	88c
1966-11-07 14:21:02	26c
1966-11-08 14:21:02	52c
1966-11-09 14:21:02	42c
1966-11-10 14:21:02	34c
1966-11-11 14:21:02	56c
1966-11-12 14:21:02	11c
1952-11-02 14:21:02	41c
1952-11-03 14:21:02	38c
1952-11-01 14:21:02	34c
1952-11-04 14:21:02	36c
1952-11-05 14:21:02	27c
1952-11-06 14:21:02	26c
1952-11-07 14:21:02	70c
1952-11-08 14:21:02	52c
1952-11-09 14:21:02	42c
1952-11-10 14:21:02	102c
1952-11-11 14:21:02	39c
1952-11-12 14:21:02	11c
1964-10-01 14:21:02	34c
1964-10-02 14:21:02	41c
1964-10-03 14:21:02	38c
1964-10-04 14:21:02	36c
1964-10-05 14:21:02	27c
1964-10-06 14:21:02	26c
1964-10-07 14:21:02	23c
1964-10-08 14:21:02	31c
1964-10-09 14:21:02	42c
1964-10-10 14:21:02	34c
1964-10-11 14:21:02	36c
1964-10-12 14:21:02	37c
1964-11-02 14:21:02	41c
1964-11-03 14:21:02	38c
1964-11-01 14:21:02	34c
1964-11-04 14:21:02	36c
1964-11-05 14:21:02	27c
1964-11-06 14:21:02	26c
1964-11-07 14:21:02	26c
1964-11-08 14:21:02	52c
1964-11-09 14:21:02	42c
1964-11-10 14:21:02	34c
1964-11-11 14:21:02	39c
1964-11-12 14:21:02	11c
1955-11-02 14:21:02	41c
1955-11-03 14:21:02	38c
1955-11-01 14:21:02	34c
1955-11-04 14:21:02	36c
1955-11-05 14:21:02	27c
1955-11-06 14:21:02	88c
1955-11-07 14:21:02	26c
1955-11-08 14:21:02	52c
1955-11-09 14:21:02	42c
1955-11-10 14:21:02	34c
1955-11-11 14:21:02	56c
1955-11-12 14:21:02	11c
1965-11-02 14:21:02	41c
1965-11-03 14:21:02	38c
1965-11-01 14:21:02	34c
1965-11-04 14:21:02	36c
1965-11-05 14:21:02	27c
1965-11-06 14:21:02	26c
1965-11-07 14:21:02	70c
1965-11-08 14:21:02	65c
1965-11-09 14:21:02	42c
1965-11-10 14:21:02	102c
1965-11-11 14:21:02	39c
1965-11-12 14:21:02	11c
